film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
30 Days of Night: Dark Days,24746257,"30 Days of Night: Dark Days is a 2010 direct-to-video American horror film based on the comic book miniseries of the same name. It was directed by and written by Ben Ketai, alongside co-writer Steve Niles. It is a sequel to the 2007 film 30 Days of Night. A prequel to the first film titled 30 Days of Night: Blood Trails was released on FEARnet.com and FEARnet On Demand in 2007 and was followed by a second series, 30 Days of Night: Dust to Dust.",Diora Baird--Harold Perrineau--Kiele Sanchez--Mia Kirshner--Rhys Coiro,30,2010 films-2010 horror films-30 Days of Night-American direct-to-video films-American films-American supernatural horror films-Apocalyptic films-Direct-to-video sequel films-English-language films-Films based on American comics-Films set in Alaska-Films set in Los Angeles-Films set on ships-Films shot in Vancouver-Ghost House Pictures films-IDW Publishing adaptations-Sony Pictures direct-to-video films-Stage 6 Films films-Vampires in film,na,Ben Ketai,na,Ben Ketai,English
Satan Hates You,30732491,Satan Hates You is a 2010 American horror film written and directed by James Felix McKenney.,Christine Spencer--Don Wood--Angus Scrimm--Bradford Scobie--John Levene--Larry Fessenden--Reggie Bannister,Satan Hates You,2010 films-2010 horror films-American films-American supernatural horror films-Demons in film,na,James Felix McKenney,na,James Felix McKenney,English
Scared Shrekless,24569006,"Scared Shrekless is a 26-minute computer-animated Halloween horror comedy television special, set shortly after the events of Shrek Forever After, that premiered on the American television network NBC on Thursday, October 28, 2010. Scared Shrekless was based on the children's book Shrek!, by the writer William Steig, which was published on October 17, 1990.",Antonio Banderas--Aron Warner--Cameron Diaz--Christopher Knights--Cody Cameron--Conrad Vernon--Dean Edwards--Kristen Schaal--Mike Myers,Scared Shrekless,2010 horror films-2010s American animated films-2010s animated television specials-2010s comedy horror films-American comedy horror films-American films-American supernatural horror films-American television films-Comedy short films-DreamWorks Animation animated short films-Films about Halloween-Films directed by Gary Trousdale-Films with screenplays by Gary Trousdale-Halloween television specials-Horror short films-NBC television specials-Shrek mass media,na,Gary Trousdale,na,Gary Trousdale,English
The Child's Eye,28829559,"The Child's Eye (Chinese: 童眼) is a 2010 Hong Kong horror film by the Pang brothers. It takes place in 2008 in Bangkok where six find themselves at the Chung Tai Hotel. After Rainie (Rainie Yang) sees a female ghost and Ling (Elanne Kwong) finds a disembodied hand, they find that while at dinner, the three men they came with have disappeared. Rainie leads the girls to find their friends.",--Ciwi Lam--Rex Ho--Elanne Kwong--Jeremy Tsui--Jo Koo--Lam Ka-tung--Rainie Yang--Shawn Yue,The Child's Eye,2010 3D films-2010 horror films-Films set in 2008-Foreign films shot in Thailand-Hong Kong 3D films-Hong Kong films-Hong Kong supernatural horror films,na,Pang brothers,na,Pang brothers,Mandarin
Cinco (film),27809735,"Cinco (lit. 'Five') is a 2010 Philippine psychological supernatural comedy science fiction horror film produced and released by Star Cinema. The film consists of five different horror stories which each featuring an ensemble cast including Sam Concepcion, AJ Perez, Robi Domingo, Jodi Sta. Maria, Maja Salvador, Rayver Cruz, Mariel Rodriguez, Pokwang and Zanjoe Marudo and are directed by Frasco Mortiz, Enrico C. Santos, Ato Bautista, Nick Olanka, and Cathy Garcia-Molina. The film was released on July 14, 2010.",--AJ Perez--Jodi Sta. Maria--Maja Salvador--Mariel Rodriguez--Pokwang--Rayver Cruz--Robi Domingo--Sam Concepcion--Zanjoe Marudo,Cinco,2010 films-2010 horror films-English-language films-Films directed by Cathy Garcia-Molina-Philippine comedy horror films-Philippine films-Philippine psychological horror films-Philippine psychological thriller films-Philippine supernatural horror films-Philippine thriller drama films-Star Cinema films-Tagalog-language films-Zombie comedy films,na,Cathy Garcia-Molina,na,Cathy Garcia-Molina,
Cinco (film),27809735,"Cinco (lit. 'Five') is a 2010 Philippine psychological supernatural comedy science fiction horror film produced and released by Star Cinema. The film consists of five different horror stories which each featuring an ensemble cast including Sam Concepcion, AJ Perez, Robi Domingo, Jodi Sta. Maria, Maja Salvador, Rayver Cruz, Mariel Rodriguez, Pokwang and Zanjoe Marudo and are directed by Frasco Mortiz, Enrico C. Santos, Ato Bautista, Nick Olanka, and Cathy Garcia-Molina. The film was released on July 14, 2010.",--AJ Perez--Jodi Sta. Maria--Maja Salvador--Mariel Rodriguez--Pokwang--Rayver Cruz--Robi Domingo--Sam Concepcion--Zanjoe Marudo,Cinco,2010 films-2010 horror films-English-language films-Films directed by Cathy Garcia-Molina-Philippine comedy horror films-Philippine films-Philippine psychological horror films-Philippine psychological thriller films-Philippine supernatural horror films-Philippine thriller drama films-Star Cinema films-Tagalog-language films-Zombie comedy films,na,Cathy Garcia-Molina,na,Cathy Garcia-Molina,English
Basement (2010 film),27615444,"Basement is a 2010 British horror film, starring Danny Dyer and written by Ewen Glass about six friends who are lured into a basement for a sinister experiment.",Danny Dyer--Emily Beecham--Jimi Mistry,Basement,2010 films-2010 horror films-British films-British horror films-English-language films,na,na,na,na,English
The Pack (2010 film),27477193,"The Pack (French: La meute) is a 2010 Franco-Belgian horror film directed and written by Franck Richard. It stars Yolande Moreau, Philippe Nahon, Émilie Dequenne and Benjamin Biolay. The film is about Charlotte and Max who come across a restaurant. After Max disappears, Charlotte returns later to find him and gets herself trapped in a cage by the restaurant owner, who has a pack of cannibals with her. The film premiered at the Cannes Film Festival on 15 May 2010 and was first shown in North America at the Fantasia Festival. The film has received generally mixed reviews.",Benjamin Biolay--Philippe Nahon--Yolande Moreau--Émilie Dequenne,The Pack,2010 directorial debut films-2010 films-2010 horror films-French-language films-French films-French horror films-French zombie films,na,Franck Richard,275.0,Franck Richard,French
Mendhamuge Evaguthu,60590619,"Mendhamuge Evaguthu is a 2010 Maldivian horror film written and directed by Yoosuf Shafeeu and Amjad Ibrahim. Produced by Hussain Rasheed, the film stars Yoosuf Shafeeu, Fathimath Fareela, Ali Fizam and Amira Ismail in pivotal roles.",Ahmed Fizam--Amira Ismail--Fathimath Fareela--Yoosuf Shafeeu,Mendhamuge Evaguthu,2010 films-2010 horror films-Maldivian films-Maldivian horror films,na,Yoosuf Shafeeu,na,Yoosuf Shafeeu,Dhivehi
Curse of the Deserted,46314193,"Curse of the Deserted is a 2010 Chinese horror film directed by Law Chi-leung and written by Cheung Chi-Kwong and Cai Jun, and starring Shawn Yue, Zhang Yuqi, Fu Miao, and Yue Xiaojun. The film is an adaptation of Cai Jun's novel of the same name.",Fu Miao--Yue Xiaojun--Shawn Yue--Zhang Yuqi,Curse of the Deserted,2010 films-2010 horror films-Chinese films-Chinese horror films-Films based on Chinese novels,na,Law Chi-leung,na,Law Chi-leung,Mandarin
Rare Exports: A Christmas Tale,29012574,"Rare Exports: A Christmas Tale is a 2010 Finnish fantasy film written and directed by Jalmari Helander about people living near Korvatunturi who discover the secret behind Santa Claus. The film is based on the 2003 short film Rare Exports Inc. and its 2005 sequel Rare Exports: The Official Safety Instructions by Jalmari Helander and Juuso Helander, both of which involve a company that traps wild Santa Clauses and trains and exports them to locations around the world.",--Ilmari Järvenpää--Jonathan Hutchings--Jorma Tommila--Onni Tommila--Peeter Jakobi--Per Christian Ellefsen--Rauno Juvonen--Risto Salmi--Tommi Korpela,Rare Exports: A Christmas Tale,2010 films-2010 horror films-2010 horror thriller films-2010s Christmas films-2010s Christmas horror films-2010s fantasy films-Christmas horror films-Dark fantasy films-English-language films-Features based on short films-Films directed by Jalmari Helander-Films set in Finland-Finnish-language films-Finnish Christmas films-Finnish films-Finnish horror films-Icon Productions films-Santa Claus in film-Scanbox Entertainment films,na,Jalmari Helander,na,Jalmari Helander,Finnish
